fid,Sample_ID,Experiment_name,Date,Start_time,End_time,Climate_logger_ID,Latitude,Longitude,GPS,City,Address,Location_description,Habitat_description,Temperature,Weather,Shade,Wind,Remarks_participants,Remarks_Nelma,Imp_mean,Imp_median,Imp_stdev,Imp_min,Imp_max
11,23-22009,R.R.M.K.S,25.05.2023,12:20,14:22,"94233331",52.390833,13.419689,"52.390833, 13.419689",Berlin,"Nahariyastraße 13-17, 12309 Berlin",Nahariya Grundschule,,"19",no clouds,no shade,no wind,,,48.6785714285714,44.5,30.3259981565809,0,100
12,23-22015,JNVNLN - Experiment,"09.06.2023",11:59,14:00,"94233372",52.502352,13.490281,"52.502352, 13.490281",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,"25",lightly cloudy,half-shade,weak wind,,,68.9424920127796,81,32.0082340073473,4,100
13,23-22021,Zuckerschnüffler,"09.06.2023",11:58,13:58,"94233317",52.501977,13.489494,"52.501977, 13.489494",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,"25",lightly cloudy,full shade,weak wind,"""Dreck zur Verwechslung mit Ameisen""? (not very legible), ""zwischen zwei Uhrzeiten halten sich teilweise mehr Ameisen auf""",,59.5903225806452,67,36.6524642030246,0,100
14,23-22022,Stemml Ameisen,"09.06.2023",11:57,,"94226831",52.502361,13.490361,"52.502361, 13.490361",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,"25",lightly cloudy,full shade,no wind,,,68.2532467532468,80,32.4631782794607,4,100
15,23-22025,KANTFARI,"06.09.2023",11:54,,"94226774",52.502298,13.490253,"52.502298, 13.490253",Berlin,"Lueckstrasse 63, 10317 Berlin",Immanuel-Kant-Gymnasium,,"25",no clouds,full shade,weak wind,,address doesn't correspond to coordinates => correct address here,69.2564935064935,81.5,31.8774406762548,4,100
16,23-22028,G. 1. Black,31.05.2023,10:50,12:40,"94253287",51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,,lightly cloudy,no shade,weak wind,,no sample linked to this data sheet,85.7877813504823,100,23.8638955300384,5,100
17,23-22029,LIMDAHE,"09.06.2023",11:54,14:43,"94233373",52.502322,13.489989,"52.502322, 13.489989",Berlin,Lueckstrasse 63 10317 Berlin Lichtenberg,Immanuel-Kant-Gymnasium,,"23",lightly cloudy,half-shade,weak wind,"Ameisen, die man wo anders sieht",,70.1100323624595,82,31.0538867122012,4,100
18,23-22030,X Box G. 2,31.05.2023,10:55,,"94226773",51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,"20",no clouds,no shade,no wind,,no sample linked to this data sheet,85.7877813504823,100,23.8638955300384,5,100
19,23-22033,,"06.09.0223",11:40,13:40,"94233450",51.31819,12.395532,"51.318190, 12.395532",Leipzig,"Puschstrasse 4, 04103 Leipzig",iDiv,,"25",no clouds,half-shade,no wind,"start in full shade, half-shade from 20', no shade from 60'",,93.8414239482201,100,13.8731224594523,19,100
20,23-22035,Gruppe 4: Die Ameisenchecker 2.0,31.05.2023,10:50,12:37,"94253260",51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,"23",lightly cloudy,half-shade,weak wind,,no sample linked to this data sheet,85.7877813504823,100,23.8638955300384,5,100
21,23-22040,"3. Gruppe ""Picknickpause""",31.05.2023,10:50,12:50,"94226796",51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,Schulhof,"20",no clouds,half-shade,weak wind,"""es krubleln überall käfer herum; 1 auf den 40% herein"", ""ist fast ausgetrocknet"" (about baits)","no sample linked to this data sheet, date not given, but all experiments from that school seem to have been done on the same day at the same time",85.7877813504823,100,23.8638955300384,5,100
22,23-22041,"Gruppe 2 Paula, Luiz & Tilda",26.05.2023,11:15,13:15,"94226724",52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,"16",no clouds,half-shade,weak wind,"too many people, too loud; ""Sie gehen mehr an die Tropfen als an die Watte""",probably Johannes-Tews  Grundschule,56.1335504885993,59,33.2907204269767,0,100
23,23-22042,,"06.09.2023",12:10,14:10,"94226791",51.317805,12.395509,"51.317805, 12.395509",Leipzig,"Puschstrasse 1, 04103 Leipzig",iDiv,,"26",no clouds,no shade,weak wind,"""Ameisen laufen anfangs an Hödern vorbei (ca 5 stück); Ameisen sind sehr schnell (ebenfalls schnelle Flucht beim Einsammeln)""",ants fled while collecting at end of exp. (translation of participant comment),90.5841584158416,100,15.5520635202304,46,100
24,23-22043,Gr 5 Käfer Chaos,31.05.2023,10:48,12:45,"94253259",51.362799,12.368982,"51.362799, 12.368982",Leipzig,"Elsbethstraße 1, 04155 Leipzig",Geschwister-Scholl-Grundschule,,"20",no clouds,full shade,weak wind,"""Kinder""",no sample linked to this data sheet,85.7877813504823,100,23.8638955300384,5,100
25,23-22045,"Lara und Ethan, Panar",26.05.2023,,,"94226787",,,,,,,,"13.5",lightly cloudy,full shade,weak wind,,,,,,,
26,23-22046,Verwucherte Sandgrube,26.05.2023,"09:30",11:30,"94233359",52.476572,13.320729,"52.476572, 13.320729",Berlin,"Laubacher Str. 27, 14197 Berlin",Ruppin Grundschule,,"14",no clouds,no shade,weak wind,,address very near participating school Ruppin Grundschule,60.4444444444444,59,30.5835166183297,0,100
27,23-22047,Die Bäkiameisen,26.05.2023,"09:08",11:10,"94226832",52.449057,13.320091,"52.449057, 13.320091",Berlin,"Haydnstraße 15, 12203 Berlin",Grundschule an der Bäke,Schulhof,"13",no clouds,half-shade,weak wind,"""Wir haben keine Ameisen gefunden :(""",,27.5194805194805,18,27.6188625500999,0,100
28,23-22049,Mark Ameisen Forscher,25.05.2023,12:31,14:30,"94226718",52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,"19",lightly cloudy,half-shade,weak wind,,,48.6785714285714,44.5,30.3259981565809,0,100
29,23-22050,"Nele, Paulina, Sina, Klara, Seran, Endecker",25.05.2023,12:37,14:36,"94226806",52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,"18",lightly cloudy,half-shade,weak wind,,,48.6785714285714,44.5,30.3259981565809,0,100
30,23-22052,Schulgarten-Ameisen Experiment,"03.06.2023",12:00,12:06,,52.443687,13.275917,"52.443687, 13.275917",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Schulgarten,,,,,,,51.5144694533762,45,31.4531083065914,0,100
31,23-22057,Ameisenpicknick,"03.07.2023",11:41,11:55,,52.443731,13.275909,"52.443731, 13.275909",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Schulgarten,"21",lightly cloudy,half-shade,weak wind,"""Leider ist die Zuckerdösung um gefallen ):""",no sample linked to this data sheet,51.3322580645161,45,31.5749378677577,0,100
32,23-22058,Ameisenhaufen,"03.07.2023",12:01,,,52.443143,13.275967,"52.443143, 13.275967",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,"""Am Wasserhahn""","20",very cloudy,half-shade,weak wind,,only experiments done on this day were at this school,46.1655844155844,38,33.1051333561517,0,100
33,23-22061,"Gruppe 4 Emilia, Pauline, Hanna (the cats)",26.05.2023,11:13,,"94233308",52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,"17",lightly cloudy,half-shade,weak wind,"""in der Nähe vom Wald""; ""Es sind Fliegen gekommen die Armeisen haven Getrunken""","no info on location but date, time of day and group name nomenclature matches that of 23-22041",56.1335504885993,59,33.2907204269767,0,100
34,23-22063,"Die Zuckerdiebe Mohammed, Fabi, Micha, Vincent",25.05.2023,12:36,14:36,"94233327",52.390833,13.419689,"52.390833, 13.419689",Berlin,Nahariyastrasse 13-17 12309 Berlin,Nahariya Grundschule,,"19",lightly cloudy,no shade,no wind,,,48.6785714285714,44.5,30.3259981565809,0,100
35,23-22065,Gruppe 3 LLJ Livia Laetitia Jacob,26.05.2023,11:15,,"94226713",52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,,"16",lightly cloudy,no shade,weak wind,"ball, people","no info on location but date, time of day and group name nomenclature matches that of 23-22041",56.1335504885993,59,33.2907204269767,0,100
36,23-22066,"4 Ameisenpicknick - Clara, Leila, Emma, Maris, Linus",26.05.2023,"09:26",11:26,"94233303",52.47588,13.32169,"52.475880, 13.321690",Berlin,"Friedenau, 14197 Berlin",Ruppin Grundschule,,,no clouds,half-shade,weak wind,"""vielleicht mögen die Ameisen keinen Schatten, vielleicht stört eine Wurzel die Ameisen, weil sie so nicht hinkommen; Experiment steht auf einem leichten Hügel""",address very near participating school Ruppin Grundschule,48.6225806451613,44,37.5629725856368,0,100
37,23-22067,Bäke G.S.I Super Tokio,26.05.2023,10:43,12:44,"94226712",52.447831,13.318825,"52.447831, 13.318825",Berlin,"Haydnstrasse 15, 12203 Berlin",Grundschule an der Bäke,,"13.5",no clouds,half-shade,no wind,"""eine Ameise is gestorben nach den sie auf die Watte gegangen ist""","no info on location, but group name may mean Bäke grundschule, date matches with experiments done there",45.640522875817,40,29.9071798009804,0,100
38,23-22068,"Gruppe 1 Moritz, Julius, Leander, (Drei???)",26.05.2023,11:15,13:15,"94226820",52.431593,13.212723,"52.431593, 13.212723",Berlin,"Wasgenstraße 50, 14129 Berlin",Johannes-Tews-Grundschule,"""Im Wald""","16",lightly cloudy,half-shade,weak wind,"""es kommen wenig Ameisen"", ""Im Wald""","no info on location but date, time of day and group name nomenclature matches that of 23-22041",56.1335504885993,59,33.2907204269767,0,100
39,23-22069,(Drawn heart),"03.07.2023",12:03,,,52.443143,13.275967,"52.443143, 13.275967",Berlin,"Molsheimer Str. 7, 14195 Berlin",Mühlenau-Grundschule,Ecke Schulgarten,,very cloudy,full shade,strong wind,"""Ecke Schulgarten""","only experiments done on this day were at this school; 2 options picked for wind, kept strongest one",46.1655844155844,38,33.1051333561517,0,100
40,23-22070,"Valentina, Lana, Marna, Mic, Letizia",26.05.2023,"09:00",11:00,"94233324",52.447831,13.318825,"52.447831, 13.318825",Berlin,"Haydnstrasse 15, 12203 Berlin",Grundschule an der Bäke,,"13",no clouds,half-shade,weak wind,"""der Boden war trocken, hart und dort waren Mäuselöcher. est gab keine Ameisen nur dar eine Ameise manchmal hin und her gakrabbelt ist""","address on google maps for the school seems to be haydnstrasse 15, not 16",45.640522875817,40,29.9071798009804,0,100
41,23-22075,Ameisenexpedition,"08.07.2023",15:42,17:42,"94226771",52.418272,13.267046,"52.418272, 13.267046",Berlin,Tuerksteinweg 11 14167 Berlin,private house,,"31",no clouds,full shade,no wind,,"on chart it says 15:42 as start time, on first page it says both 15:30 and 15:42, I went with 15:42. Same thing with end time",14.1129032258065,10,16.9123974747956,0,95
42,23-22076,#Mikrosafari Girls Group,26.05.2023,"09:32",11:32,"94233325",52.475364,13.320428,"52.475364, 13.320428",Berlin,"Laubacher Str. 22, 14197 Berlin",Ruppin Grundschule,,"14",no clouds,full shade,weak wind,"""es lief leider nicht wie gewollt bei uns""",address very near participating school Ruppin Grundschule,69.7870967741935,73.5,27.8998178041859,10,100
43,23-22085,SMDM,26.05.2023,"09:10",,"94226789",52.448279,13.3204,"52.448279, 13.320400",Berlin,"Haydnstraße 18, 12203 Berlin",Grundschule an der Bäke,,"14",no clouds,full shade,weak wind,,,21.064308681672,15,25.2720702835993,0,100
44,23-22087,Die Schaffige Sandgruppe,26.05.2023,"09:36",11:35,"94226790",52.475184,13.320656,"52.475184, 13.320656",Berlin,"Offenbacher Str. 5A, 14197 Berlin",Ruppin Grundschule,,"14",no clouds,full shade,weak wind,"""sandiger standort ist unangemessen""",,66.8717948717949,69.5,27.967292698454,10,100
45,23-22088,5 Mc. Aal,26.05.2023,"09:29",11:29,"94226788",52.47575,13.321651,"52.475750, 13.321651",Berlin,"Friedenau, Berlin-Bezirk Tempelhof-Schöneberg",Ruppin Grundschule,,"12",no clouds,half-shade,no wind,"""Kellerasseln, Fliege""","no sample linked to this data sheet, address very near participating school Ruppin Grundschule",51.0322580645161,45.5,36.9144467488288,0,100
46,23-22089,,"04.06.2023",12:10,14:20,"94253271",51.319826,12.37961,"51.319826, 12.379610",Leipzig,Scharnhorststrasse 47 04275 Leipzig,Kurt Masur Schule,,"21",no clouds,half-shade,weak wind,"""die Ameisen leben in einer Gardena Ventilbox""",,66.1590909090909,68.5,31.0762157218207,11,100
47,23-22090,KMS 2,26.05.2023,"09:30",11:30,"94253256",51.319498,12.377589,"51.319498, 12.377589",Leipzig,"Scharnhorststraße 24, 04275 Leipzig",Kurt Masur Schule,Schulgarten,"17",lightly cloudy,full shade,no wind,"""am Ende waren keine Ameisen auf dem Köder""",no sample linked to this data sheet,89.903536977492,100,18.3477576986991,20,100
