sample_ID,date,start_time,end_time,climate_logger_ID,latitude,longitude,GPS,city,address,location_description,site,habitat_description,temperature,weather,shade,wind,imp_mean,imp_median,imp_stdev,imp_min,imp_max,t1_mean,t1_max,t1_min,t1_sd,t1_var,t2_mean,t2_max,t2_min,t2_sd,t2_var,t3_mean,t3_max,t3_min,t3_sd,t3_var,raw_moist_mean,raw_moist_max,raw_moist_min,raw_moist_sd,raw_moist_var,vol_moist_mean,vol_moist_max,vol_moist_min,vol_moist_sd,vol_moist_var,remarks_participants,remarks_Nelma
22-11016,,,,,52.425870,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin",John F. Kennedy School (JFK-SCHULE),JFK-Schule,"Gras, Baum ",14,lightly cloudy,half-shade,no wind,69.50645,88.5,36.38218,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,ants prefer light to shade,"Upper left corfer: 3e-15; There is only a photocopy of the data sheet, not the cardboard sheet; No info on location, but sample 22-11003 has similar numbering on the upper left corner and also had a photocopied sheet, so I am assuming it is from the same place"
22-11019,20.05.2022,9:53,11:53,94233375,52.448568,13.400487,"52.448567961451076, 13.400487494458982",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule; Innen Hof (Artrium),Schaetzelberg-Grundschule,Rindenmulch,21,lightly cloudy,no shade,weak wind,46.33333,42,28.24836,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,"many ants were under the cotton ball and came through the hole the skewer made in the card, they could not be counted during the experiment",I put the coordites in the middle of the inner courtyard
22-11020,20.05.2022,10:14,12:17,94226723,52.454883,13.270002,"52.45488324373612, 13.27000240964818",Berlin,"Huettenweg 40, 14195 Berlin",Quentin-Blake-Grundschule Europaschule; Schulhof,Quentin-Blake-Grundschule,"Muelleimer, Erde, Kastanie, Sandkasten",21,lightly cloudy,half-shade,weak wind,72.48065,83.5,29.29843,10,100,21.96527778,24.125,21.25,1.010255571,1.020616319,24.97916667,25.6875,23.625,0.651020833,0.423828125,23.42361111,24.625,22.25,0.746592374,0.557400174,1203.777778,1209,1191,6.180165406,38.19444444,12.3,12.4,12,0.141421356,0.02,,"Top of sheet: ""Finja"""
22-11021,13.05.2022,9:23,,94226782,51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Feldahorn, Schotter, Fahrradstaender",19,lightly cloudy,half-shade,weak wind,40.30065,28.5,39.06825,0,100,16.66071429,16.875,16.5,0.17251639,0.029761905,17.52678571,17.8125,17.25,0.219068645,0.047991071,17.20535714,17.5,16.875,0.193360784,0.037388393,896.5714286,901,892,2.935821456,8.619047619,5.514285714,5.6,5.4,0.069006556,0.004761905,,"No info on location, but only experiments done that day were at thomas muntzer Gymnasium in halle. Time of day and weather conditions match as well"
22-11022,12.05.2022,17:50,,94226783,51.503971,11.953307,"51.5039709, 11.9533074",Halle,"Saalepromenade, Anleger 5, 06114, Halle (Saale)",in front of the Buergerforschungsschiff Make Science Halle,Boat Make Science Halle,"Grasflaeche vor Saale, Kraeuter",23,lightly cloudy,no shade,strong wind,30.03896,0,39.24066,0,100,21.015625,23.5625,19.5,1.325719986,1.757533482,21.234375,24.25,17.25,2.556013131,6.533203125,22.125,23.9375,18.875,1.67338675,2.800223214,864.5,874,856,6.568322247,43.14285714,4.7875,5,4.6,0.145773797,0.02125,,"2 options picked for wind, kept the highest"
22-11023,05.06.2022,12:23,14:30,94233346,51.313882,12.313821,"51.31388243, 12.3138208",Leipzig,"Diezmannstraße, 04207 Leipzig","Haltestelle Kurt-Kressestr., 1. Garten an den Meyerischen Haeusern, an der Ecke",private garden exp 22-11023,"Wiese, Steinweg, Beet",24,lightly cloudy,no shade,weak wind,45.56291,46,27.9247,0,100,21.63194444,22,21,0.440219721,0.193793403,28.375,30.1875,26.875,1.073927517,1.153320313,29.13888889,30.875,27.875,0.932160722,0.868923611,1811.111111,1822,1797,9.803627447,96.11111111,25.01111111,25.2,24.7,0.208832735,0.043611111,,
22-11024,13.05.2022,9:38,11:28,94226828,51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Wiese, Baeume, Weg, Zaun",19,lightly cloudy,full shade,weak wind,40.30065,28.5,39.06825,0,100,17.5625,18.25,17.3125,0.3365728,0.11328125,19.21428571,20.5,18.75,0.691142946,0.477678571,18.66071429,19.375,18.25,0.365962527,0.133928571,1064,1113,1051,21.90129372,479.6666667,9.257142857,10.3,9,0.464962876,0.216190476,,"No info on location, but only experiments done that day were at thomas muntzer Gymnasium in halle. Time of day and weather conditions match as well"
22-11025,20.05.2022,9:52,,94233374,52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Schaetzelberg-Grundschule,"Steinplatten (Gehweg), Gebuesch",17,lightly cloudy,half-shade,weak wind,49.26471,45,28.03042,4,100,22.5625,22.875,21.375,0.492125492,0.2421875,23.203125,23.8125,22.875,0.294575209,0.086774554,23.4140625,24.125,22.625,0.485202346,0.235421317,1193.625,1208,1172,13.54292119,183.4107143,12.0875,12.4,11.6,0.294897076,0.086964286,Alle Ameisen waren unter den Blaettchen,
22-11026,18.05.2022,9:22,,94226779,52.425734,13.225675,"52.4257340528183, 13.22567469750354",Berlin,"Am Rohrgarten 9, 14163 Berlin",Anna-Essinger-Gemeinschaftsschule,Anna-Essinger-Gemeinschaftsschule,"Erdiger Boden, Stoeckchen, Waldrand, Sandkastenspielplatz",,lightly cloudy,full shade,no wind,57.9513,61,36.33468,0,100,13.375,14.5,12.9375,0.483113276,0.233398438,15.89583333,18.625,14.6875,1.158359562,1.341796875,16.15972222,18.25,14.75,1.077609075,1.161241319,908.5555556,968,895,22.71074146,515.7777778,5.777777778,7.1,5.5,0.504424865,0.254444444,,"No info on location. of 5 experiments done on that date, only 1 had location info filled. All times of day matched. I'm assuming they all took place there; Upper left corner: Pere, Mi, Anton, Ayden"
22-11027,25.05.2022,10:01,12:01,94226736,52.422990,13.263480,"52.42299, 13.26348",Berlin,"around Teltower Damm 123, 14167 Berlin",Schweizerhof-Grundschule; Schulhofuebergang zum Maerchenwald,Schweizerhof-Grundschule,"huegelig, Baum, kein Gras, Wurzeln",16,very cloudy,half-shade,weak wind,39.94498,31,28.94521,2,100,16.49107143,16.625,16.3125,0.132231309,0.017485119,17.79464286,18.125,17.375,0.254425122,0.064732143,17.71428571,18.125,17.375,0.230649962,0.053199405,1026.571429,1031,1021,3.644957378,13.28571429,8.442857143,8.5,8.3,0.078679579,0.006190476,Stoerung generell: Wind hat Sand drauf geweht,
22-11029,02.06.2022,8:10,10:10,94226821,52.495420,13.318973,"52.495420, 13.318973",Berlin,"Emser Str. 50, 10719 Berlin","Hebelschule; Schulhof, Rote Bahn",Hebelschule,"Busch, Laufbahn",17,lightly cloudy,half-shade,no wind,51.07097,45,33.84654,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probably hebelschule, only school missing from dataset and experiments were picked up from school on 02.06; Ant counting data not filled out, only ""Wahr da"" at 40% and 120 minutes"
22-11030,20.05.2022,,,94233369,52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Schaetzelberg-Grundschule,"Fahrradstaender, Muelleimer",28,no clouds,full shade,no wind,49.26471,45,28.03042,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-11031,19.05.2022,12:49,14:58,94233315,52.541454,13.357715,"52.54145437062422, 13.357714564039153",Berlin,"Tegeler Str. 18-19, 13533 Berlin",Brueder-Grimm-Grundschule,Brueder-Grimm-Grundschule,"Rindenmulch, neben ein Haus, Kletterpflanze, kletterstein in der Naehe",,,,,77.35256,100,29.72692,2,100,18.09375,21.25,17.5,1.281304441,1.641741071,24.140625,27.625,23.125,1.453808883,2.113560268,26.875,27.9375,26.25,0.529276798,0.280133929,1677.625,1787,1611,89.74875646,8054.839286,22.3,24.5,20.9,1.822086716,3.32,,"actual data sheet not filled out, filled out photocopy attached; No info on the location no info on location but data sheet photocopied like in sample 22-11061, and all exp done on 19.05 were from the same place, so I assume it is also the Brueder-Grimm-Grundschule"
22-11032,20.05.2022,10:25,12:25,94226820,51.296465,12.384371,"51.29646511111912, 12.384370693254107",Leipzig,"Raschwitzer Str. 4, 04279 Leipzig",Karl-Schubert-Schule Leipzig Freie Waldorfschule,Karl-Schubert-Schule ,"Beet am Haus, Steine, Weg, Pflanzen, Kies",23,very cloudy,half-shade,no wind,68.81699,74,27.86826,10,100,21.03125,21.875,20.625,0.422577127,0.178571429,22.7734375,25.875,21.4375,1.604937102,2.575823103,23.015625,26,21.5,1.736796492,3.016462054,668,680,661,6.761234038,45.71428571,0.2875,0.6,0.1,0.180772153,0.032678571,,"Upper right corner: ""P4"", 2 options picked for weather, kept highest one"
22-11033,20.05.2022,9:46,11:50,94226793,52.443830,13.276990,"52.44383, 13.27699",Berlin,"Nebinger Str. 7, 14195 Berlin",private home address but next to Muehlenau-Grundschule,private home exp 22-11033,"Gras, Gaensebluemschen, Apfelbaum",20,lightly cloudy,no shade,weak wind,34.55195,29.5,25.07328,0,100,18.25694444,18.4375,18,0.14804865,0.021918403,22.28472222,25.25,20.375,1.917261004,3.675889757,22.25694444,24.625,21,1.31378079,1.726019965,1591.333333,1601,1583,7.05336799,49.75,20.54444444,20.7,20.4,0.133333333,0.017777778,,
22-11034,13.05.2022,9:24,11:22,94233339,51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Erde, Gras, Baumstaemme",20,very cloudy,half-shade,weak wind,40.30065,28.5,39.06825,0,100,20.66071429,22.125,20.125,0.706053755,0.498511905,22.27678571,24.6875,20.375,1.789675666,3.202938988,21.08035714,23.875,19.25,1.785617557,3.18843006,966.4285714,978,961,6.451282634,41.61904762,7.071428571,7.3,7,0.125356634,0.015714286,,
22-11036,17.05.2022,12:42,14:40,94226797,52.515270,13.437778,"52.51527, 13.437778",Berlin,"Ruedersdorfer Str. 20, 10243 Berlin",Ellen-Key-Schule; hof beim Sportplatz,Ellen-Key-Schule,"Hof, Erde, Holunderbusch",19,very cloudy,half-shade,weak wind,55.96753,59,37.16328,0,100,24.66666667,27.8125,22.5,1.984969563,3.940104167,22.09375,23.8125,20.875,1.019918808,1.040234375,22.19791667,24.6875,20.625,1.384296226,1.916276042,676.3333333,681,673,2.658320272,7.066666667,0.5,0.6,0.4,0.063245553,0.004,"morgens Regen, chmittags Sonne = weniger Ameisen. Stoerung at 40%: Ball rueber gerollt 2x",
22-11037,02.06.2022,8:10,10:10,94226821,52.495420,13.318973,"52.495420, 13.318973",Berlin,"Emser Str. 50, 10719 Berlin",Hebelschule; Schulhof,Hebelschule,sandig,17,very cloudy,half-shade,weak wind,51.07097,45,33.84654,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probably hebelschule, only school missing from dataset and experiments were picked up from school on 02.06"
22-11038,20.05.2022,10:35,12:36,94226795,52.501944,13.259167,"52.501944, 13.259167",Berlin,"Waldschulallee 75, 14055 Berlin",Heinz-Galinski-Schule,Heinz-Galinski-Schule,"Erde, Pflanzen",21,lightly cloudy,half-shade,weak wind,38.80573,30,35.06333,0,100,18.40972222,19.125,18.25,0.281442835,0.079210069,24.5,29.125,22.375,2.418394677,5.848632813,25.97916667,30.125,22.8125,2.80624304,7.875,1227.222222,1237,1220,5.629781918,31.69444444,12.82222222,13,12.7,0.120185043,0.014444444,,sheet describing group tasks attached to data sheet
22-11039,25.05.2022,10:19,,94226724,52.422990,13.263480,"52.42299, 13.26348",Berlin,"around Teltower Damm 123, 14167 Berlin",Schweizerhof-Grundschule; Eingang des Schulhofes,Schweizerhof-Grundschule,unter Baeume,16,very cloudy,full shade,weak wind,39.94498,31,28.94521,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-11041,15.06.2022,17:35,,,52.596792,13.387563,"52.59679227537036, 13.387563435581962",Berlin,"Schoenhauserstr. 17, 13158 Berlin",looks like a private home,private home exp 22-11041,Gras,25,no clouds,no shade,no wind,44.11613,38,25.81459,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,*Kein Klimalogger,
22-11043,13.05.2022,9:24,,94233329,51.501380,11.958611,"51.50138, 11.958611",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"Baum, Unkraut, Naehe Fußweg",18,lightly cloudy,no shade,weak wind,34.50825,22,36.25577,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,"Stoerung: at 20% and 40% ""Schmutz""",
22-11044,20.05.2022,10:30,,94226746,52.501872,13.259668,"52.501872365419025, 13.259667928745133",Berlin,"Waldschulallee 73, 14055 Berlin",Heinz-Galinski-Schule,Heinz-Galinski-Schule,"erde, Gras, Sand, Steine",21,lightly cloudy,full shade,weak wind,47.34516,38.5,35.13137,0,100,18.48611111,19.25,18.3125,0.294443626,0.086697049,21.15972222,22.3125,20.25,0.728943418,0.531358507,21.20138889,22.5,20.125,0.836063237,0.699001736,937.8888889,964,903,21.04426552,442.8611111,6.444444444,7,5.7,0.453075907,0.205277778,,"sheet describing group tasks attached to data sheet; No info on location but same extra sheet as 22-11038, so I assume it was done in the same location. Dates, experiment mes, time of day match"
22-11046,17.05.2022,12:49,14:40,94226714,52.515178,13.437952,"52.5151779064315, 13.437951893254114",Berlin,"Ruedersdorfer Str. 20-27, 10243 Berlin",Ellen-Key-Schule; an der Koppenstr.,Ellen-Key-Schule,"Wiese, Muell",18,very cloudy,half-shade,weak wind,57.28571,61,36.53813,0,100,24.66666667,32,20.625,4.160578886,17.31041667,21.96875,25.125,20.1875,1.693161798,2.866796875,21.61458333,24.875,19.875,1.786414297,3.191276042,662.3333333,680,653,9.584710046,91.86666667,0.183333333,0.6,0,0.222860195,0.049666667,zu Beginn very cloudy. am Morgen Regen,"2 options picked for shade, kept highest one"
22-11048,02.06.2022,8:10,10:10,94226821,52.495420,13.318973,"52.495420, 13.318973",Berlin,"Emser Str. 50, 10719 Berlin",Hebelschule,Hebelschule,sandig,17,very cloudy,half-shade,weak wind,51.07097,45,33.84654,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logger ID was miswritten with 1 digit missing, but all other experiments from that day and that school used the same logger, so I corrected it from 9422621 to 94226821; Probably hebelschule, only school missing from dataset and experiments were picked up from school on 02.06; ant counting data barely filled out"
22-11049,20.05.2022,9:52,11:55,94233309,,,,,,,,"Wasserwannde, Gras, Erde",19,lightly cloudy,full shade,weak wind,,,,,,17.45833333,18,17.25,0.235932326,0.055664063,21.125,24.5,19.375,1.763341997,3.109375,22.32638889,27.5,20.125,2.482315927,6.161892361,1253.444444,1267,1238,9.580071909,91.77777778,13.41111111,13.7,13.1,0.202758751,0.041111111,,"No info on location. Olivia linked it to the experiment done in Muehlenau-Grundschule (Molsheimer Str. 7), but I don't know how. The date and time of day could correspond to other schools; Upper left corner: Florian, Noel, Jady, Aiya, Ania"
22-11052,13.05.2022,9:20,11:20,94226781,51.501380,11.958611,"51.50138, 11.958611",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,"sandig, Dreck, Muelleimer",19,very cloudy,full shade,strong wind,34.50825,22,36.25577,0,100,18.84821429,19.5,18.5,0.349585213,0.122209821,20.08928571,22.25,18.875,1.415068251,2.002418155,19.25,20.875,18.1875,1.098649739,1.20703125,1051.142857,1060,1044,6.69399162,44.80952381,8.985714286,9.2,8.8,0.167616342,0.028095238,"Stoerungen: 0% = weggepustet, 5% Blatt schief/verloren gegangen, 40% beim einsammeln sind Ameisen runtergefallen",
22-11053,02.06.2022,8:10,10:10,94226821,52.495420,13.318973,"52.495420, 13.318973",Berlin,"Emser Str. 50, 10719 Berlin",Hebelschule; Schulhof,Hebelschule,"trockenes Laub, Weintrauben",17,lightly cloudy,half-shade,weak wind,51.07097,45,33.84654,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probably hebelschule, only school missing from dataset and experiments were picked up from school on 02.06"
22-11054,20.05.2022,10:55,12:55,94226716,52.501389,13.257778,"52.501389, 13.257778",Berlin,"Waldschulallee 73, 14055 Berlin",Heinz-Galinski-Schule,Heinz-Galinski-Schule,"Eiche, Laubboden",21,lightly cloudy,half-shade,weak wind,14.27419,0,25.7242,0,100,15.59722222,15.75,15.5,0.089000039,0.007921007,20.9375,23.375,19.8125,1.08748204,1.182617188,22.67361111,27,20.875,1.935931265,3.747829861,1175.666667,1184,1166,6.32455532,40,11.7,11.9,11.5,0.141421356,0.02,,sheet describing group tasks attached to data sheet
22-11055,13.05.2022,,,94233392,51.501186,11.958597,"51.50118626065838, 11.958597135581961",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Muentzer” Halle,Giebichenstein-Gymnasium “Thomas Muentzer”,trockener Lehmboden,18,lightly cloudy,half-shade,weak wind,40.30065,28.5,39.06825,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,"No info on location, but only experiments done that day were at thomas muntzer Gymnasium in halle. weather conditions match as well"
