sample_ID,concentration,count_time,individuals,remarks_participants,remarks_Nelma
22-11002,0,80,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,120,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,Frozen,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,0,Lab,0,,
22-11002,5,5,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,10,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,20,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,40,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,80,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,120,1,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,Frozen,1,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,5,Lab,1,,
22-11002,10,5,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,10,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,20,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,40,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,80,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,120,2,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,Frozen,2,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,10,Lab,2,,
22-11002,20,5,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,10,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,20,1,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,40,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,80,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,120,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,Frozen,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,20,Lab,0,,
22-11002,40,5,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,10,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,20,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,40,2,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,80,0,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,120,28,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,Frozen,37,ch 40 min Sonne weg weniger ch 80 in die Sonne 40% Zucker ch kurzer Zeit Sonne dort auch weg ,
22-11002,40,Lab,37,,
22-11003,0,5,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,10,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,20,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,40,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,80,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,120,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,Frozen,,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,0,Lab,,,no sample linked to this data sheet
22-11003,5,5,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,10,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,20,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,40,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,80,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,120,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,Frozen,,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,5,Lab,,,no sample linked to this data sheet
22-11003,10,5,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,10,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,20,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,40,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,80,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,120,2,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,Frozen,,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,10,Lab,,,no sample linked to this data sheet
22-11003,20,5,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,10,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,20,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,40,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,80,2,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,120,3,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,Frozen,,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,20,Lab,,,no sample linked to this data sheet
22-11003,40,5,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,10,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,20,0,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,40,1,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,80,6,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,120,6,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,Frozen,,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin"
22-11003,40,Lab,,,no sample linked to this data sheet
22-11004,0,5,0,,
22-11004,0,10,0,,
22-11004,0,20,0,,
22-11004,0,40,0,,
22-11004,0,80,0,,
22-11004,0,120,0,,
22-11004,0,Frozen,,,
22-11004,0,Lab,0,,
22-11004,5,5,0,,
22-11004,5,10,0,,
22-11004,5,20,0,,
22-11004,5,40,0,,
22-11004,5,80,1,,
22-11004,5,120,1,,
22-11004,5,Frozen,,,
22-11004,5,Lab,,,5-40 % missing
22-11004,10,5,0,,
22-11004,10,10,0,,
22-11004,10,20,0,,
22-11004,10,40,0,,
22-11004,10,80,1,,
22-11004,10,120,2,,
22-11004,10,Frozen,,,
22-11004,10,Lab,2,,0 counted in lab data but 2 from species ID data
22-11004,20,5,0,,
22-11004,20,10,0,,
22-11004,20,20,0,,
22-11004,20,40,0,,
22-11004,20,80,0,,
22-11004,20,120,0,,
22-11004,20,Frozen,,,
22-11004,20,Lab,,,5-40 % missing
22-11004,40,5,0,,
22-11004,40,10,0,,
22-11004,40,20,0,,
22-11004,40,40,0,,
22-11004,40,80,1,,
22-11004,40,120,0,,
22-11004,40,Frozen,,,
22-11004,40,Lab,,,5-40 % missing
22-11005,0,5,0,,
22-11005,0,10,0,,
22-11005,0,20,0,,
22-11005,0,40,0,,
22-11005,0,80,0,,
22-11005,0,120,0,,
22-11005,0,Frozen,,,
22-11005,0,Lab,0,,
22-11005,5,5,0,,
22-11005,5,10,0,,
22-11005,5,20,0,,
22-11005,5,40,0,,
22-11005,5,80,0,,
22-11005,5,120,0,,
22-11005,5,Frozen,,,
22-11005,5,Lab,0,,
22-11005,10,5,0,,
22-11005,10,10,0,,
22-11005,10,20,0,,
22-11005,10,40,0,,
22-11005,10,80,0,,
22-11005,10,120,0,,
22-11005,10,Frozen,,,
22-11005,10,Lab,0,,
22-11005,20,5,0,,
22-11005,20,10,0,,
22-11005,20,20,0,,
22-11005,20,40,0,,
22-11005,20,80,0,,
22-11005,20,120,0,,
22-11005,20,Frozen,,,
22-11005,20,Lab,0,,
22-11005,40,5,0,,
22-11005,40,10,0,,
22-11005,40,20,0,,
22-11005,40,40,1,,
22-11005,40,80,0,,
22-11005,40,120,0,,
22-11005,40,Frozen,,,
22-11005,40,Lab,0,,
22-11006,0,5,0,,
22-11006,0,10,0,,
22-11006,0,20,0,,
22-11006,0,40,0,,
22-11006,0,80,0,,
22-11006,0,120,0,,
22-11006,0,Frozen,,,
22-11006,0,Lab,0,,
22-11006,5,5,1,,
22-11006,5,10,1,,
22-11006,5,20,0,,
22-11006,5,40,0,,
22-11006,5,80,0,,
22-11006,5,120,1,,
22-11006,5,Frozen,,,
22-11006,5,Lab,0,,
22-11006,10,5,0,,
22-11006,10,10,1,,
22-11006,10,20,1,,
22-11006,10,40,1,,
22-11006,10,80,1,,
22-11006,10,120,4,,
22-11006,10,Frozen,,,
22-11006,10,Lab,0,,1 non-ant on 10 %
22-11006,20,5,0,,
22-11006,20,10,0,,
22-11006,20,20,0,,
22-11006,20,40,0,,
22-11006,20,80,2,,
22-11006,20,120,1,,
22-11006,20,Frozen,,,
22-11006,20,Lab,0,,
22-11006,40,5,1,,
22-11006,40,10,1,,
22-11006,40,20,0,,
22-11006,40,40,0,,
22-11006,40,80,0,,
22-11006,40,120,0,,
22-11006,40,Frozen,,,
22-11006,40,Lab,0,,
22-11007,0,5,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,10,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,20,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,40,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,80,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,120,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,Frozen,,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,0,Lab,0,,Not in ethanol
22-11007,5,5,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,10,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,20,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,40,1,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,80,1,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,120,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,Frozen,,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,5,Lab,0,,Not in ethanol
22-11007,10,5,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,10,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,20,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,40,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,80,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,120,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,Frozen,,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,10,Lab,0,,Not in ethanol
22-11007,20,5,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,10,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,20,1,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,40,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,80,3,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,120,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,Frozen,,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,20,Lab,0,,Not in ethanol
22-11007,40,5,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,10,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,20,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,40,5,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,80,0,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,120,1,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,Frozen,,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,
22-11007,40,Lab,0,,Not in ethanol
22-11008,0,5,0,,
22-11008,0,10,0,,
22-11008,0,20,0,,
22-11008,0,40,1,,
22-11008,0,80,0,,
22-11008,0,120,0,,
22-11008,0,Frozen,,,
22-11008,0,Lab,0,,
22-11008,5,5,0,,
22-11008,5,10,0,,
22-11008,5,20,1,,
22-11008,5,40,1,,
22-11008,5,80,2,,
22-11008,5,120,2,,
22-11008,5,Frozen,,,
22-11008,5,Lab,0,,
22-11008,10,5,0,,
22-11008,10,10,0,,
22-11008,10,20,0,,
22-11008,10,40,0,,
22-11008,10,80,1,,
22-11008,10,120,6,,
22-11008,10,Frozen,3,,
22-11008,10,Lab,3,,1 beetle on 10 %
22-11008,20,5,0,,
22-11008,20,10,0,,
22-11008,20,20,0,,
22-11008,20,40,1,,
22-11008,20,80,4,,
22-11008,20,120,2,,
22-11008,20,Frozen,2,,
22-11008,20,Lab,2,,1 beetle on 20 %
22-11008,40,5,0,,
22-11008,40,10,0,,
22-11008,40,20,0,,
22-11008,40,40,2,,
22-11008,40,80,3,,
22-11008,40,120,3,,
22-11008,40,Frozen,2,,
22-11008,40,Lab,2,, 1 parasitoid wasp on 40 %
22-11009,0,5,0,,"temperature: says 12, later 18"
22-11009,0,10,0,,"temperature: says 12, later 18"
22-11009,0,20,0,,"temperature: says 12, later 18"
22-11009,0,40,0,,"temperature: says 12, later 18"
22-11009,0,80,2,,"temperature: says 12, later 18"
22-11009,0,120,1,,"temperature: says 12, later 18"
22-11009,0,Frozen,0,,"temperature: says 12, later 18"
22-11009,0,Lab,0,,
22-11009,5,5,0,,"temperature: says 12, later 18"
22-11009,5,10,0,,"temperature: says 12, later 18"
22-11009,5,20,0,,"temperature: says 12, later 18"
22-11009,5,40,0,,"temperature: says 12, later 18"
22-11009,5,80,1,,"temperature: says 12, later 18"
22-11009,5,120,1,,"temperature: says 12, later 18"
22-11009,5,Frozen,0,,"temperature: says 12, later 18"
22-11009,5,Lab,0,,
22-11009,10,5,1,,"temperature: says 12, later 18"
22-11009,10,10,0,,"temperature: says 12, later 18"
22-11009,10,20,0,,"temperature: says 12, later 18"
22-11009,10,40,0,,"temperature: says 12, later 18"
22-11009,10,80,0,,"temperature: says 12, later 18"
22-11009,10,120,1,,"temperature: says 12, later 18"
22-11009,10,Frozen,0,,"temperature: says 12, later 18"
22-11009,10,Lab,2,,
22-11009,20,5,0,,"temperature: says 12, later 18"
22-11009,20,10,0,,"temperature: says 12, later 18"
22-11009,20,20,0,,"temperature: says 12, later 18"
22-11009,20,40,1,,"temperature: says 12, later 18"
22-11009,20,80,1,,"temperature: says 12, later 18"
22-11009,20,120,4,,"temperature: says 12, later 18"
22-11009,20,Frozen,0,,"temperature: says 12, later 18"
22-11009,20,Lab,0,,
22-11009,40,5,0,,"temperature: says 12, later 18"
22-11009,40,10,0,,"temperature: says 12, later 18"
22-11009,40,20,0,,"temperature: says 12, later 18"
22-11009,40,40,0,,"temperature: says 12, later 18"
22-11009,40,80,0,,"temperature: says 12, later 18"
22-11009,40,120,1,,"temperature: says 12, later 18"
22-11009,40,Frozen,0,,"temperature: says 12, later 18"
22-11009,40,Lab,0,,
22-11010,0,5,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,10,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,20,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,40,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,80,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,120,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,Frozen,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,0,Lab,0,,"2 entries for this sample ID, 1 with no ants on any %"
22-11010,5,5,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,10,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,20,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,40,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,80,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,120,1,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,Frozen,1,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,5,Lab,0,,"2 entries for this sample ID, 1 with no ants on any %"
22-11010,10,5,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,10,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,20,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,40,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,80,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,120,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
22-11010,10,Frozen,0,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet"
